"product_title","category_title"
"Product 1809","Category 18"
"Product 1695","Category 11"
"Product 1664","Category 18"
"Product 2136","Category 11"
"Product 940","Category 18"
"Product 699","Category 18"
"Product 1283","Category 18"
"Product 3083","Category 18"
"Product 1664","Category 18"
"Product 1622","Category 18"
"Product 441","Category 18"
"Product 3910","Category 18"
"Product 2805","Category 11"
"Product 2794","Category 18"
"Product 791","Category 11"
"Product 3962","Category 18"
"Product 2303","Category 18"
"Product 2070","Category 11"
"Product 1568","Category 11"
"Product 438","Category 11"
"Product 3397","Category 11"
"Product 1516","Category 18"
"Product 1590","Category 11"
"Product 2055","Category 18"
"Product 1294","Category 18"
"Product 642","Category 11"
"Product 2724","Category 18"
"Product 3419","Category 18"
"Product 541","Category 18"
"Product 2155","Category 11"
"Product 2136","Category 11"
"Product 302","Category 11"
"Product 30","Category 18"
"Product 3404","Category 18"
"Product 1439","Category 18"
"Product 3129","Category 11"
"Product 677","Category 18"
"Product 3604","Category 11"
"Product 982","Category 11"
"Product 3842","Category 18"
"Product 1875","Category 18"
"Product 1407","Category 11"
"Product 2062","Category 11"
"Product 1076","Category 11"
"Product 1878","Category 11"
"Product 1943","Category 11"
"Product 1606","Category 11"
"Product 501","Category 11"
"Product 1808","Category 18"
"Product 1089","Category 11"
"Product 1648","Category 11"
"Product 1261","Category 18"
"Product 254","Category 18"
"Product 3337","Category 11"
"Product 2154","Category 11"
"Product 1407","Category 11"
"Product 844","Category 11"
"Product 855","Category 18"
"Product 2551","Category 18"
"Product 1540","Category 11"
"Product 441","Category 18"
"Product 2759","Category 11"
"Product 822","Category 11"
"Product 2246","Category 11"
"Product 2760","Category 11"
"Product 1262","Category 18"
"Product 2759","Category 11"
"Product 3125","Category 18"
"Product 2497","Category 18"
"Product 162","Category 11"
"Product 3952","Category 18"
"Product 3909","Category 18"
"Product 2331","Category 18"
"Product 288","Category 18"
"Product 2771","Category 11"
"Product 3199","Category 18"
"Product 501","Category 11"
"Product 120","Category 18"
"Product 1334","Category 11"
"Product 2616","Category 11"
"Product 2635","Category 18"
"Product 1516","Category 18"
"Product 3304","Category 18"
"Product 2070","Category 11"
"Product 2169","Category 11"
"Product 930","Category 18"
"Product 1590","Category 11"
"Product 20","Category 11"
"Product 3804","Category 18"
"Product 286","Category 18"
"Product 3650","Category 11"
"Product 2062","Category 11"
"Product 1987","Category 18"
"Product 3257","Category 11"
"Product 2551","Category 18"
"Product 743","Category 18"
"Product 1839","Category 18"
"Product 484","Category 18"
"Product 2157","Category 11"
"Product 3326","Category 11"
"Product 673","Category 11"
"Product 1352","Category 11"
"Product 822","Category 11"
"Product 393","Category 11"
"Product 747","Category 11"
"Product 141","Category 11"
"Product 157","Category 11"
"Product 2046","Category 18"
"Product 3404","Category 18"
"Product 2497","Category 18"
"Product 272","Category 18"
"Product 2204","Category 18"
"Product 2154","Category 11"
"Product 1830","Category 11"
"Product 2784","Category 11"
"Product 1438","Category 18"
"Product 3949","Category 11"
"Product 3821","Category 18"
"Product 1407","Category 11"
"Product 1798","Category 11"
"Product 2041","Category 11"
"Product 1568","Category 11"
"Product 2169","Category 11"
"Product 493","Category 18"
"Product 2784","Category 11"
"Product 2374","Category 11"
"Product 2634","Category 11"
"Product 163","Category 11"
"Product 2137","Category 11"
"Product 3288","Category 11"
"Product 1076","Category 11"
"Product 2238","Category 18"
"Product 2710","Category 18"
"Product 2150","Category 11"
"Product 1202","Category 11"
"Product 624","Category 11"
"Product 2899","Category 11"
"Product 1875","Category 18"
"Product 404","Category 18"
"Product 508","Category 11"
"Product 625","Category 18"
"Product 501","Category 11"
"Product 1802","Category 11"
"Product 441","Category 18"
"Product 2758","Category 11"
"Product 3928","Category 11"
"Product 3081","Category 11"
"Product 202","Category 18"
"Product 1439","Category 18"
"Product 1098","Category 18"
"Product 2759","Category 11"
"Product 2457","Category 11"
"Product 50","Category 11"
"Product 3973","Category 18"
"Product 3952","Category 18"
"Product 2858","Category 11"
"Product 2759","Category 11"
"Product 1712","Category 18"
"Product 2150","Category 11"
"Product 1080","Category 18"
"Product 3549","Category 18"
"Product 2710","Category 18"
"Product 348","Category 18"
"Product 2910","Category 18"
"Product 642","Category 11"
"Product 281","Category 11"
"Product 3072","Category 11"
"Product 3664","Category 18"
"Product 3844","Category 18"
"Product 201","Category 18"
"Product 699","Category 18"
"Product 348","Category 18"
"Product 288","Category 18"
"Product 258","Category 11"
"Product 1802","Category 11"
"Product 2616","Category 11"
"Product 3842","Category 18"
"Product 2684","Category 11"
"Product 2137","Category 11"
"Product 141","Category 11"
"Product 1987","Category 18"
"Product 664","Category 18"
"Product 1332","Category 11"
"Product 553","Category 11"
"Product 2047","Category 11"
"Product 3304","Category 18"
"Product 2602","Category 11"
"Product 3559","Category 11"
"Product 1332","Category 11"
"Product 3915","Category 18"
"Product 1233","Category 18"
"Product 598","Category 18"
"Product 1284","Category 18"
"Product 3194","Category 18"
"Product 1075","Category 11"
"Product 2981","Category 18"
"Product 3062","Category 18"
"Product 1610","Category 18"
"Product 1056","Category 18"
"Product 432","Category 11"
"Product 822","Category 11"
"Product 1352","Category 11"
"Product 1622","Category 18"
"Product 487","Category 11"
"Product 2899","Category 11"
"Product 2539","Category 11"
"Product 348","Category 18"
"Product 1734","Category 11"
"Product 3142","Category 18"
"Product 1639","Category 11"
"Product 3152","Category 18"
"Product 1056","Category 18"
"Product 1334","Category 11"
"Product 559","Category 18"
"Product 2762","Category 11"
"Product 2899","Category 11"
"Product 3595","Category 18"
"Product 2789","Category 18"
"Product 2981","Category 18"
"Product 850","Category 11"
"Product 642","Category 11"
"Product 2859","Category 18"
"Product 3125","Category 18"
"Product 2758","Category 11"
"Product 393","Category 11"
"Product 404","Category 18"
"Product 3928","Category 11"
"Product 1161","Category 18"
"Product 2070","Category 11"
"Product 995","Category 18"
"Product 2951","Category 11"
"Product 1875","Category 18"
"Product 3563","Category 18"
"Product 3894","Category 11"
"Product 1809","Category 18"
"Product 3697","Category 11"
"Product 3004","Category 18"
"Product 1658","Category 11"
"Product 2047","Category 11"
"Product 2283","Category 18"
"Product 2656","Category 18"
"Product 3304","Category 18"
"Product 1686","Category 18"
"Product 1943","Category 11"
"Product 1104","Category 18"
"Product 3816","Category 18"
"Product 157","Category 11"
"Product 3425","Category 18"
"Product 404","Category 18"
"Product 3821","Category 18"
"Product 3129","Category 11"
"Product 3199","Category 18"
"Product 2813","Category 11"
"Product 493","Category 18"
"Product 120","Category 18"
"Product 553","Category 11"
"Product 3542","Category 18"
"Product 3638","Category 18"
"Product 995","Category 18"
"Product 3199","Category 18"
"Product 771","Category 11"
"Product 201","Category 18"
"Product 20","Category 11"
"Product 2051","Category 18"
"Product 3056","Category 18"
"Product 3152","Category 18"
"Product 2303","Category 18"
"Product 3694","Category 18"
"Product 329","Category 18"
"Product 851","Category 18"
"Product 493","Category 18"
"Product 3700","Category 18"
"Product 497","Category 11"
"Product 1357","Category 18"
"Product 664","Category 18"
"Product 1606","Category 11"
"Product 930","Category 18"
"Product 514","Category 11"
"Product 384","Category 18"
"Product 2784","Category 11"
"Product 1179","Category 11"
"Product 3968","Category 18"
"Product 2150","Category 11"
"Product 3826","Category 18"
"Product 30","Category 18"
"Product 3337","Category 11"
"Product 8","Category 11"
"Product 1438","Category 18"
"Product 2608","Category 11"
"Product 3842","Category 18"
"Product 1808","Category 18"
"Product 3182","Category 11"
"Product 764","Category 11"
"Product 1840","Category 11"
"Product 2204","Category 18"
"Product 1058","Category 18"
"Product 3257","Category 11"
"Product 476","Category 11"
"Product 1284","Category 18"
"Product 1842","Category 11"
"Product 634","Category 18"
"Product 1104","Category 18"
"Product 3949","Category 11"
"Product 3775","Category 11"
"Product 2859","Category 18"
"Product 2826","Category 18"
"Product 1229","Category 18"
"Product 2859","Category 18"
"Product 2100","Category 11"
"Product 393","Category 11"
"Product 1032","Category 18"
"Product 2656","Category 18"
"Product 288","Category 18"
"Product 2137","Category 11"
"Product 1700","Category 11"
"Product 1783","Category 11"
"Product 1107","Category 18"
"Product 3354","Category 11"
"Product 1590","Category 11"
"Product 2167","Category 11"
"Product 3650","Category 11"
"Product 493","Category 18"
"Product 2331","Category 18"
"Product 2635","Category 18"
"Product 501","Category 11"
"Product 3053","Category 11"
"Product 1839","Category 18"
"Product 2563","Category 18"
"Product 2684","Category 11"
"Product 1355","Category 18"
"Product 2381","Category 11"
"Product 1165","Category 11"
"Product 3957","Category 18"
"Product 2511","Category 11"
"Product 3746","Category 18"
"Product 829","Category 18"
"Product 1712","Category 18"
"Product 2661","Category 11"
"Product 3965","Category 11"
"Product 2859","Category 18"
"Product 1075","Category 11"
"Product 20","Category 11"
"Product 2794","Category 18"
"Product 3962","Category 18"
"Product 1439","Category 18"
"Product 3842","Category 18"
"Product 1606","Category 11"
"Product 1202","Category 11"
"Product 3425","Category 18"
"Product 655","Category 11"
"Product 1241","Category 18"
"Product 508","Category 11"
"Product 898","Category 18"
"Product 393","Category 11"
"Product 3949","Category 11"
"Product 501","Category 11"
"Product 3053","Category 11"
"Product 982","Category 11"
"Product 3549","Category 18"
"Product 1104","Category 18"
"Product 2238","Category 18"
"Product 3928","Category 11"
"Product 1168","Category 11"
"Product 2154","Category 11"
"Product 952","Category 11"
"Product 56","Category 18"
"Product 508","Category 11"
"Product 378","Category 11"
"Product 3404","Category 18"
"Product 3425","Category 18"
"Product 2154","Category 11"
"Product 2661","Category 11"
"Product 1790","Category 11"
"Product 2940","Category 11"
"Product 1294","Category 18"
"Product 3108","Category 11"
"Product 120","Category 18"
"Product 122","Category 11"
"Product 3415","Category 11"
"Product 3694","Category 18"
"Product 2342","Category 11"
"Product 1610","Category 18"
"Product 1161","Category 18"
"Product 2169","Category 11"
"Product 652","Category 11"
"Product 2007","Category 11"
"Product 2401","Category 18"
"Product 1233","Category 18"
"Product 2813","Category 11"
"Product 1593","Category 11"
"Product 1407","Category 11"
"Product 3083","Category 18"
"Product 2635","Category 18"
"Product 869","Category 11"
"Product 2563","Category 18"
"Product 249","Category 18"
"Product 624","Category 11"
"Product 3442","Category 18"
"Product 3697","Category 11"
"Product 1089","Category 11"
"Product 2684","Category 11"
"Product 3714","Category 18"
"Product 1590","Category 11"
"Product 3182","Category 11"
"Product 2635","Category 18"
"Product 910","Category 11"
"Product 497","Category 11"
"Product 771","Category 11"
"Product 1029","Category 18"
"Product 3931","Category 18"
"Product 1839","Category 18"
"Product 1798","Category 11"
"Product 546","Category 18"
"Product 283","Category 11"
"Product 2017","Category 11"
"Product 348","Category 18"
"Product 2047","Category 11"
"Product 3142","Category 18"
"Product 239","Category 18"
"Product 2951","Category 11"
"Product 595","Category 18"
"Product 3933","Category 18"
"Product 1334","Category 11"
"Product 249","Category 18"
"Product 771","Category 11"
"Product 1355","Category 18"
"Product 1229","Category 18"
"Product 1334","Category 11"
"Product 2155","Category 11"
"Product 1165","Category 11"
"Product 2575","Category 11"
"Product 3549","Category 18"
"Product 3354","Category 11"
"Product 3304","Category 18"
"Product 3397","Category 11"
"Product 1841","Category 18"
"Product 1425","Category 11"
"Product 1391","Category 18"
"Product 3838","Category 18"
"Product 865","Category 11"
"Product 559","Category 18"
"Product 2060","Category 18"
"Product 3973","Category 18"
"Product 3750","Category 18"
"Product 3129","Category 11"
"Product 3542","Category 18"
"Product 2553","Category 18"
"Product 3337","Category 11"
"Product 3816","Category 18"
"Product 3826","Category 18"
"Product 930","Category 18"
"Product 2374","Category 11"
"Product 823","Category 11"
"Product 673","Category 11"
"Product 1438","Category 18"
"Product 2551","Category 18"
"Product 1283","Category 18"
"Product 743","Category 18"
"Product 163","Category 11"
"Product 3894","Category 11"
"Product 1610","Category 18"
"Product 2899","Category 11"
"Product 2062","Category 11"
"Product 2170","Category 11"
"Product 3969","Category 18"
"Product 141","Category 11"
"Product 3679","Category 18"
"Product 230","Category 18"
"Product 202","Category 18"
"Product 3775","Category 11"
"Product 1148","Category 11"
"Product 2784","Category 11"
"Product 2644","Category 11"
"Product 2100","Category 11"
"Product 2582","Category 18"
"Product 3968","Category 18"
"Product 3804","Category 18"
"Product 281","Category 11"
"Product 3915","Category 18"
"Product 2940","Category 11"
"Product 3933","Category 18"
"Product 3354","Category 11"
"Product 1032","Category 18"
"Product 1231","Category 11"
"Product 1116","Category 18"
"Product 1227","Category 11"
"Product 2497","Category 18"
"Product 3446","Category 11"
"Product 3257","Category 11"
"Product 1058","Category 18"
"Product 487","Category 11"
"Product 2429","Category 18"
"Product 20","Category 11"
"Product 3700","Category 18"
"Product 25","Category 18"
"Product 3952","Category 18"
"Product 2724","Category 18"
"Product 141","Category 11"
"Product 2551","Category 18"
"Product 2551","Category 18"
"Product 3072","Category 11"
"Product 2429","Category 18"
"Product 1227","Category 11"
"Product 625","Category 18"
"Product 2762","Category 11"
"Product 2497","Category 18"
"Product 1202","Category 11"
"Product 1779","Category 18"
"Product 30","Category 18"
"Product 2381","Category 11"
"Product 3933","Category 18"
"Product 764","Category 11"
"Product 2010","Category 11"
"Product 360","Category 18"
"Product 2555","Category 18"
"Product 1950","Category 11"
"Product 476","Category 11"
"Product 1841","Category 18"
"Product 940","Category 18"
"Product 163","Category 11"
"Product 25","Category 18"
"Product 3129","Category 11"
"Product 3957","Category 18"
"Product 3415","Category 11"
"Product 1875","Category 18"
"Product 27","Category 18"
"Product 2684","Category 11"
"Product 286","Category 18"
"Product 3167","Category 11"
"Product 3664","Category 18"
"Product 3544","Category 11"
"Product 2684","Category 11"
"Product 57","Category 18"
"Product 1332","Category 11"
"Product 647","Category 11"
"Product 3549","Category 18"
"Product 1055","Category 11"
"Product 1084","Category 18"
"Product 2826","Category 18"
"Product 598","Category 18"
"Product 2511","Category 11"
"Product 2582","Category 18"
"Product 2155","Category 11"
"Product 2762","Category 11"
"Product 811","Category 18"
"Product 869","Category 11"
"Product 952","Category 11"
"Product 1593","Category 11"
"Product 3142","Category 18"
"Product 2758","Category 11"
"Product 3056","Category 18"
"Product 1332","Category 11"
"Product 2374","Category 11"
"Product 1689","Category 18"
"Product 1839","Category 18"
"Product 1029","Category 18"
"Product 3056","Category 18"
"Product 3826","Category 18"
"Product 888","Category 18"
"Product 2582","Category 18"
"Product 2646","Category 11"
"Product 2644","Category 11"
"Product 677","Category 18"
"Product 1438","Category 18"
"Product 3915","Category 18"
"Product 25","Category 18"
"Product 1516","Category 18"
"Product 487","Category 11"
"Product 1542","Category 11"
"Product 348","Category 18"
"Product 20","Category 11"
"Product 3304","Category 18"
"Product 2062","Category 11"
"Product 2401","Category 18"
"Product 1686","Category 18"
"Product 1610","Category 18"
"Product 1179","Category 11"
"Product 2858","Category 11"
"Product 3969","Category 18"
"Product 844","Category 11"
"Product 27","Category 18"
"Product 2684","Category 11"
"Product 2060","Category 18"
"Product 141","Category 11"
"Product 546","Category 18"
"Product 771","Category 11"
"Product 2062","Category 11"
"Product 3694","Category 18"
"Product 2155","Category 11"
"Product 2100","Category 11"
"Product 1360","Category 18"
"Product 2150","Category 11"
"Product 3909","Category 18"
"Product 2805","Category 11"
"Product 1058","Category 18"
"Product 598","Category 18"
"Product 2859","Category 18"
"Product 2204","Category 18"
"Product 286","Category 18"
"Product 2010","Category 11"
"Product 2641","Category 18"
"Product 910","Category 11"
"Product 744","Category 11"
"Product 1442","Category 11"
"Product 995","Category 18"
"Product 3826","Category 18"
"Product 3259","Category 11"
"Product 2941","Category 18"
"Product 120","Category 18"
"Product 2771","Category 11"
"Product 3304","Category 18"
"Product 3286","Category 11"
"Product 822","Category 11"
"Product 2283","Category 18"
"Product 373","Category 11"
"Product 598","Category 18"
"Product 647","Category 11"
"Product 2661","Category 11"
"Product 2060","Category 18"
"Product 865","Category 11"
"Product 3910","Category 18"
"Product 493","Category 18"
"Product 3259","Category 11"
"Product 851","Category 18"
"Product 27","Category 18"
"Product 2051","Category 18"
"Product 1636","Category 18"
"Product 1294","Category 18"
"Product 1332","Category 11"
"Product 3915","Category 18"
"Product 1606","Category 11"
"Product 3125","Category 18"
"Product 3029","Category 11"
"Product 348","Category 18"
"Product 2167","Category 11"
"Product 3816","Category 18"
"Product 747","Category 11"
"Product 2429","Category 18"
"Product 2497","Category 18"
"Product 2602","Category 11"
"Product 673","Category 11"
"Product 2007","Category 11"
"Product 3056","Category 18"
"Product 3053","Category 11"
"Product 432","Category 11"
"Product 3286","Category 11"
"Product 2374","Category 11"
"Product 1987","Category 18"
"Product 202","Category 18"
"Product 1606","Category 11"
"Product 2274","Category 18"
"Product 348","Category 18"
"Product 2575","Category 11"
"Product 1693","Category 18"
"Product 3182","Category 11"
"Product 2758","Category 11"
"Product 851","Category 18"
"Product 1294","Category 18"
"Product 2457","Category 11"
"Product 1283","Category 18"
"Product 1442","Category 11"
"Product 3288","Category 11"
"Product 699","Category 18"
"Product 1029","Category 18"
"Product 1664","Category 18"
"Product 56","Category 18"
"Product 595","Category 18"
"Product 971","Category 18"
"Product 3442","Category 18"
"Product 484","Category 18"
"Product 497","Category 11"
"Product 3952","Category 18"
"Product 3700","Category 18"
"Product 3910","Category 18"
"Product 30","Category 18"
"Product 514","Category 11"
"Product 3746","Category 18"
"Product 789","Category 11"
"Product 393","Category 11"
"Product 8","Category 11"
"Product 673","Category 11"
"Product 3306","Category 18"
"Product 3823","Category 18"
"Product 476","Category 11"
"Product 2721","Category 11"
"Product 743","Category 18"
"Product 3823","Category 18"
"Product 3053","Category 11"
"Product 2767","Category 18"
"Product 1056","Category 18"
"Product 553","Category 11"
"Product 3119","Category 11"
"Product 3547","Category 18"
"Product 764","Category 11"
"Product 2951","Category 11"
"Product 2661","Category 11"
"Product 2429","Category 18"
"Product 2760","Category 11"
"Product 1179","Category 11"
"Product 812","Category 11"
"Product 258","Category 11"
"Product 348","Category 18"
